name,description
Le Nuage Café,"Un café moderne, proposant de nombreuses activités culturelles et artistiques."
Chapelle de la Réconciliation,Une petite chapelle située à côté de l'Université Catholique de Lille.
Le Prato,Un théâtre lillois dédié au cirque contemporain et à l'art de la scène.
L'Usine de Roubaix,Un grand centre commercial d'usine proposant des articles à prix réduits.
Le Grand Playground,"Un espace de vente et d'exposition au cœur de Lille, dédié à la mode et aux créateurs locaux."
La Gare de Lille-Europe,"Un des principaux hubs de transport ferroviaire en Europe, avec des connexions internationales."
La Gare de Lille-Flandres,Un bâtiment historique qui sert de gare principale pour les connexions nationales.
Place de la République,Une grande place centrale avec des bâtiments administratifs et des statues.
Maison des étudiants catholiques,Un lieu historique où se retrouvent les étudiants de l’Université Catholique de Lille.
Parc Matisse,Un parc moderne situé à proximité de la Gare Lille-Europe.
Le Bistrot du Quai,"Un restaurant avec vue sur le Quai du Wault, célèbre pour sa cuisine traditionnelle."
Hôtel de Ville de Lille,Un bâtiment administratif d’architecture art déco avec un beffroi classé.
Stade Pierre-Mauroy,Un stade ultra-moderne accueillant les matchs du LOSC et divers événements.
Place Rihour,"Une place populaire entourée de cafés et de restaurants, où se trouve l'office du tourisme."
Les Moulins de Lille,Un quartier vivant et cosmopolite avec des bâtiments historiques industriels.
École Nationale Supérieure des Arts et Industries Textiles (ENSAIT),École d'ingénieurs spécialisée dans l'industrie textile.
Complexe UGC Ciné Cité Lille,Un grand cinéma moderne situé dans le quartier Euralille.
Lille Neige,Un événement hivernal proposant des activités sur neige au cœur de la ville.
L’Herbe Folle,"Un restaurant bio et écoresponsable, populaire pour ses plats locaux et de saison."
Hospice Gantois,Un ancien hospice transformé en hôtel de luxe et centre culturel.
Les 3 Brasseurs,Une brasserie artisanale renommée pour ses bières maison et son ambiance conviviale.
Quai de Wault,Un quai pittoresque bordé d’anciens bâtiments et de restaurants au bord de l’eau.
Esplanade du Champ de Mars,"Un grand espace ouvert à proximité de la Citadelle, idéal pour des événements et des festivals."
Rue de Béthune,"Une rue commerçante très fréquentée dans le centre de Lille, avec de nombreuses boutiques."
Les Poussins du Jardin Vauban,Des statues humoristiques en forme de poussins installées dans le Jardin Vauban.
Collégiale Saint-Pierre,Une ancienne église située près du centre historique de Lille.
Le Musée d'Art Sacré Moderne,"Un musée consacré à l'art religieux moderne, situé dans la Cathédrale de la Treille."
Le Flow - Centre Eurorégional des Cultures Urbaines,"Un centre dédié à la promotion des cultures urbaines, notamment la danse, le graffiti et le rap."
Palais Rameau,"Un bâtiment historique utilisé pour des événements, des expositions et des réceptions."
Le Grand Bleu,"Un théâtre jeune public et familial, dédié aux arts de la scène pour enfants et adolescents."
Grand Place,"Le cœur de Lille, aussi connue sous le nom de Place du Général-de-Gaulle, avec ses façades historiques."
Le Nouveau Siècle,Un centre de congrès et salle de concert qui accueille l'Orchestre National de Lille.
Parc du Héron,"Un grand parc avec un lac et des sentiers de promenade situé à Villeneuve-d'Ascq, proche de Lille."
Parc Urbain d'EuraTechnologies,Un parc moderne situé autour du pôle technologique EuraTechnologies à Lille.
Le Prieuré de Loos,Un monastère médiéval en ruines situé dans le parc de la Citadelle.
Le Théâtre du Nord,"Un théâtre situé sur la Grand Place, proposant une programmation variée de spectacles vivants."
Le Palais de Justice,Un impressionnant bâtiment judiciaire de style moderne situé dans le centre-ville.
Université Lille 1,"Le campus scientifique de l'université de Lille, situé à Villeneuve-d'Ascq."
Quartier Bois Blancs,"Un quartier en pleine expansion avec des projets urbains innovants, incluant EuraTechnologies."
Chapelle Saint-Joseph,Une petite chapelle située près de l’Université Catholique de Lille.
Hôtel Bellevue,Un hôtel situé sur la Grand Place offrant une vue magnifique sur le centre historique.
L’Aéronef,Une salle de concert renommée située dans le quartier d'Euralille.
Le Fresnoy - Studio national des arts contemporains,"Un centre d'art contemporain à Tourcoing, dédié aux arts numériques et audiovisuels."
Le Conservatoire de Lille,Une école de musique et de danse historique située dans un ancien hôtel particulier.
Le Jardin des Géants,Un parc contemporain près d'Euralille avec des œuvres d'art et des espaces verts.
Villa Cavrois,"Un chef-d'œuvre moderniste conçu par l'architecte Robert Mallet-Stevens, situé à Croix, près de Lille."
Institut d'Études Politiques de Lille (Sciences Po Lille),"Un institut d'enseignement supérieur réputé, formant à la politique et aux relations internationales."
Quartier Saint-Sauveur,"Un quartier réhabilité avec des espaces culturels, artistiques et des bars animés."
Le Palais Rihour,"Ancien palais des ducs de Bourgogne, abritant aujourd'hui l'office de tourisme."
Le Musée des Canonniers,Un musée militaire présentant l'histoire des canonniers de Lille depuis le Moyen Âge.
Parc Naturel Urbain de Lomme,"Un grand parc en périphérie de Lille, idéal pour les randonnées et activités de plein air."
Le Musée de la Piscine,"Un musée d'art situé dans une ancienne piscine Art Déco à Roubaix, proche de Lille."
Ferme pédagogique Marcel Dhénin,Une ferme au cœur de Lille proposant des activités éducatives pour les enfants.
Marché de la Place du Concert,"Un marché traditionnel du Vieux-Lille, célèbre pour ses produits frais et locaux."
Le Faubourg des Modes,Un quartier créatif regroupant des designers et créateurs de mode dans des ateliers-boutiques.
Fives Cail,Une ancienne friche industrielle réhabilitée en centre d'innovation et d'activités culturelles.
Atelier 2 - Centre d'art contemporain,"Un centre d'art contemporain à Villeneuve-d'Ascq, proposant des expositions et des ateliers."
Le Musée du Jouet,"Un petit musée situé à Wambrechies, proche de Lille, présentant une collection de jouets anciens."
Le Grand Sud,"Un espace événementiel et culturel dans le sud de Lille, accueillant concerts et spectacles."
Le Parc Jean-Baptiste Lebas,"Un espace vert urbain animé, avec des aires de jeux et des installations artistiques."
Chapelle des Carmes de Lille,Une chapelle historique située dans le quartier du Vieux-Lille.
Le Marché de la Place Sébastopol,Un marché local qui se tient régulièrement sur la place Sébastopol de Lille.
Le Café Citoyen,"Un café engagé avec une programmation culturelle et des débats, situé au cœur de Lille."
Le Musée Hospitalier Régional de Lille,Un musée consacré à l'histoire de la médecine et des hôpitaux de la région.
Le Fort de Seclin,"Un fort militaire datant de la fin du XIXe siècle, à proximité de Lille, ouvert aux visites."
Collège de Marcq-en-Barœul,"Un collège historique de la métropole lilloise, situé à Marcq-en-Barœul."
Le Parc des Dondaines,"Un parc urbain situé à proximité de la Gare Lille-Europe, idéal pour se détendre."
